District,Site,Site_Type,Site_EQHazardLevel,Site_EQRiskLevel,Site_Soil,Site_Liquefaction,Site_GroundMotionPercentile,Site_HasGeotechnicalStudy,Site_ShearWaveVelocity,Building,Building_Type,Building_HasEvaluation,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_NumberOfFloors,BuildingArea_ConstructionType,BuildingArea_VerticalIrregularity,BuildingArea_HorizontalIrregularity,BuildingArea_ExistingRisk,BuildingArea_HasRetrofit,BuildingArea_RetrofitRisk,BuildingArea_CodeRisk
Aberdeen,McDermoth Elementary School,Elementary School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,91,Yes,234,Main Building,Elementary School - Multi-Story,Yes,1926,Addition,1998,Unknown,2,,Severe,Yes,,Yes,,
Aberdeen,McDermoth Elementary School,Elementary School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,91,Yes,234,Main Building,Elementary School - Multi-Story,Yes,1926,Covered Play,1998,Unknown,1,,Severe,Yes,,Yes,,
Aberdeen,McDermoth Elementary School,Elementary School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,91,Yes,234,Main Building,Elementary School - Multi-Story,Yes,1926,Main Area,1926,<1973,3,"Wood, Commercial and Industrial (>5,000 square feet)",Moderate,Yes,Very High,Yes,Low,Low
Aberdeen,Miller Junior High School,Middle/Junior High School - Rural,Very High,,Firm Soil - Soft Soil,Moderate to High,90,No,,Main Building,Middle/Junior High School - Multi-Story,Yes,1979,Main Area,1979,Unknown,,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,,No,,
Aberdeen,Robert Gray Elementary School,Elementary School - Rural,High,,Rock,Very Low,98,Yes,119,Main Building,Elementary School - Multi-Story,Yes,2002,covered play,2002,Unknown,,,Severe,Yes,,No,,
Aberdeen,Robert Gray Elementary School,Elementary School - Rural,High,,Rock,Very Low,98,Yes,119,Main Building,Elementary School - Multi-Story,Yes,2002,Main Bldg Floor 1&2,2002,Unknown,,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,,No,,
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90,No,,Covered Play 1,Covered Play,Yes,1955,Covered Play 1,1955,<1973,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90,No,,Main Building,Elementary School - Single Story,Yes,1955,Addition,1974,Unknown,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90,No,,Main Building,Elementary School - Single Story,Yes,1955,Addition,1976,Unknown,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90,No,,Main Building,Elementary School - Single Story,Yes,1955,Covered Play,1976,Unknown,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Aberdeen,Stevens Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,90,No,,Main Building,Elementary School - Single Story,Yes,1955,Main Area,1955,<1973,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Very High,No,Low,Low
Adna,Adna Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,52,No,,Covered Play 1,Covered Play,No,1980,Main Area,1980,Unknown,1,,,,,No,,
Adna,Adna Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,52,No,,Covered Play 2,Covered Play,No,1994,Main Area,1980,Unknown,1,,,,,No,,
Adna,Adna Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,52,No,,Main Building,Elementary School - Single Story,No,1980,Main Area,1980,Unknown,1,,,,,No,,
Adna,Adna Middle High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,45,No,,Main Building,Junior/Senior High School - Single Story,No,1992,Main Area,1992,Unknown,1,,,,,No,,
Adna,Adna Middle High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,45,No,,Weight Room/Storage,Classroom Building - Slabs On Grade,No,2014,Main Area,2014,2003-Present,1,,,,,No,,
Almira,Almira Elementary School,Elementary School - Rural,Low,,Firm Soil,Low,17,No,,Main Building,K-8,No,1950,Addition,1952,<1973,1,,,,,No,,
Almira,Almira Elementary School,Elementary School - Rural,Low,,Firm Soil,Low,17,No,,Main Building,K-8,No,1950,Addition,1973,Unknown,1,,,,,No,,
Almira,Almira Elementary School,Elementary School - Rural,Low,,Firm Soil,Low,17,No,,Main Building,K-8,No,1950,Main Area,1950,<1973,1,,,,,No,,
Anacortes,Anacortes High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,47,No,,Cap Sante HS,High School - Single Story,No,2020,Main Area,2020,2003-Present,,,,,,No,,
Anacortes,Anacortes High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,47,No,,East Building,High School - Multi-Story,No,2019,Main Area,2019,2003-Present,,,,,,No,,
Anacortes,Anacortes High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,47,No,,West Building,High School - Multi-Story,No,1955,1991 Gym Addition,1991,Unknown,,,,,,No,,
Anacortes,Anacortes High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,47,No,,West Building,High School - Multi-Story,No,1955,"2020 Music, CTE and PAC Additions",2020,2003-Present,,,,,,No,,
Anacortes,Anacortes High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,47,No,,West Building,High School - Multi-Story,No,1955,Brodniak PAC - Main Floor,1976,Unknown,,,,,,No,,
Anacortes,Anacortes High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,47,No,,West Building,High School - Multi-Story,No,1955,Original Gym - Main Floor,1955,<1973,,,,,,No,,
Anacortes,Anacortes Middle School,Middle/Junior High School - Rural,Moderate,,Firm Soil,Low to Moderate,50,No,,Main Building,Middle/Junior High School - Multi-Story,No,1949,Area 1,1949,<1973,1,,,,,No,,
Anacortes,Anacortes Middle School,Middle/Junior High School - Rural,Moderate,,Firm Soil,Low to Moderate,50,No,,Main Building,Middle/Junior High School - Multi-Story,No,1949,Area 2,1991,Unknown,1,,,,,No,,
Anacortes,Anacortes Middle School,Middle/Junior High School - Rural,Moderate,,Firm Soil,Low to Moderate,50,No,,Main Building,Middle/Junior High School - Multi-Story,No,1949,Area 3,1998,Unknown,1,,,,,No,,
Anacortes,Fidalgo Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,50,No,,Main Building,Elementary School - Single Story,No,1957,Area 1,1957,<1973,1,,,,,No,,
Anacortes,Fidalgo Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,50,No,,Main Building,Elementary School - Single Story,No,1957,Area 2,1998,Unknown,1,,,,,No,,
Anacortes,Island View Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,No,,Main Building,Elementary School - Single Story,No,1957,Area 1,1957,<1973,1,,,,,No,,
Anacortes,Island View Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,No,,Main Building,Elementary School - Single Story,No,1957,Area 2,1964,<1973,1,,,,,No,,
Anacortes,Island View Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,No,,Main Building,Elementary School - Single Story,No,1957,Area 3,1976,Unknown,1,,,,,No,,
Anacortes,Island View Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,No,,Main Building,Elementary School - Single Story,No,1957,Area 4,1991,Unknown,1,,,,,No,,
Anacortes,Island View Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,No,,Main Building,Elementary School - Single Story,No,1957,Area 5,1997,Unknown,1,,,,,No,,
Anacortes,Mount Erie Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,Yes,522,Main Building,Elementary School - Single Story,No,1955,Area 1,1955,<1973,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Yes,Yes,Very High,No,Low,Low
Anacortes,Mount Erie Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,Yes,522,Main Building,Elementary School - Single Story,No,1955,Area 2,1984,Unknown,1,,,,,No,,
Anacortes,Mount Erie Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,48,Yes,522,Main Building,Elementary School - Single Story,No,1955,Area 3,1991,Unknown,1,,,,,No,,
Anacortes,Whitney Early Childhood Education Center,Early Childhood/Pre-Kindergarten,Moderate,,Firm Soil,Low to Moderate,49,No,,Covered Play,Covered Play,No,1999,Main Area,1999,Unknown,1,,,,,No,,
Anacortes,Whitney Early Childhood Education Center,Early Childhood/Pre-Kindergarten,Moderate,,Firm Soil,Low to Moderate,49,No,,Main Building,Administrative,No,1961,Main Area,1961,<1973,,,,,,No,,
Anacortes,Whitney Early Childhood Education Center,Early Childhood/Pre-Kindergarten,Moderate,,Firm Soil,Low to Moderate,49,No,,North Building,Classroom Building - Slabs On Grade,No,1961,Main Area,1961,<1973,1,,,,,No,,
Anacortes,Whitney Early Childhood Education Center,Early Childhood/Pre-Kindergarten,Moderate,,Firm Soil,Low to Moderate,49,No,,South Building,Classroom Building - Slabs On Grade,No,1961,Main Area,1961,<1973,1,,,,,No,,
Arlington,Arlington High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,40,Yes,,Greenhouse,Greenhouse,No,2003,Main Area,2003,Unknown,1,Steel Light Frame,Severe,None,Moderate,No,,
Arlington,Arlington High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,40,Yes,,Industrial Arts Building,High School - Single Story,No,2003,Main Area,2003,Unknown,1,Steel Light Frame,Severe,None,Moderate,No,,
Arlington,Arlington High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,40,Yes,,Main Building,High School - Multi-Story,No,2003,Auditorium - First Floor,2005,2003-Present,,,,,,No,,
Arlington,Arlington High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,40,Yes,,Main Building,High School - Multi-Story,No,2003,First Floor,2003,Unknown,,,Severe,Yes,,No,,
Arlington,Arlington High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,40,Yes,,Main Building,High School - Multi-Story,No,2003,First Floor,2003,Unknown,,Reinforced Masonry Bearing Walls with Precast Concrete Diaphragms,Severe,Yes,,No,,
Arlington,Eagle Creek Elementary School,Elementary School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,No,,Covered Play,Covered Play,No,1989,Covered Play,1989,Unknown,1,Reinforced Concrete Moment Resisting Frames,Severe,None,Moderate,No,Low,Low
Arlington,Eagle Creek Elementary School,Elementary School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,No,,Main Building,Elementary School - Single Story,No,1989,Main Area,1989,Unknown,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,Yes,Moderate,No,Low,Low
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Gymnasium Building,Middle/Junior High School - Single Story,Yes,1978,Main Area,1978,Unknown,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,None,Moderate,No,Low,Low
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Main Building,Middle/Junior High School - Multi-Story,No,2006,First Floor,2006,2003-Present,,,Severe,Yes,,No,,
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Main Building,Middle/Junior High School - Multi-Story,No,2006,First Floor,2006,2003-Present,,Steel Braced Frame,Severe,Yes,,No,,
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Music Building,Middle/Junior High School - Single Story,Yes,1968,Main Area,1968,<1973,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,None,Very High,No,Low,Low
Arlington,Kent Prairie Elementary School,Elementary School - Rural,Moderate,Low,Firm Soil - Soft Soil,Low to Moderate,37,No,,Covered Play,Covered Play,No,1993,Main Area,1993,Unknown,1,Reinforced Concrete Moment Resisting Frames,Severe,None,Low,No,Low,Low
Arlington,Kent Prairie Elementary School,Elementary School - Rural,Moderate,Low,Firm Soil - Soft Soil,Low to Moderate,37,No,,Main Building,Elementary School - Single Story,Yes,1993,Main Area,1993,Unknown,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,Yes,Low,No,Low,Low
Arlington,Pioneer Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,41,Yes,,Main Building,Elementary School - Multi-Story,No,2002,Covered Play,2002,Unknown,,,Severe,Yes,,No,,
Arlington,Pioneer Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,41,Yes,,Main Building,Elementary School - Multi-Story,No,2002,First Floor,2002,Unknown,,,Severe,Yes,,No,,
Arlington,Pioneer Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,41,Yes,,Main Building,Elementary School - Multi-Story,No,2002,First Floor,2002,Unknown,,Steel Braced Frame,Severe,Yes,,No,,
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,No,,B Building - Gym,Gymnasium,Yes,1981,Main Area,1981,Unknown,1,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,None,Moderate,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,No,,Building A Main,Middle/Junior High School - Single Story,Yes,1981,Main Area,1981,Unknown,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Moderate,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,No,,C Building - Art/Home Living/Woods,Classroom Building - Slabs On Grade,Yes,1981,Main Area,1981,Unknown,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,None,Low,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,No,,D Building Classrooms Addition,Classroom Building - Slabs On Grade,Yes,1993,Main Area,1993,Unknown,1,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,None,Low,No,Low,Low
Arlington,Presidents Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Main Building,Elementary School - Multi-Story,No,2004,Covered Play,2004,Unknown,,,Severe,Yes,,No,,
Arlington,Presidents Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Main Building,Elementary School - Multi-Story,No,2004,First Floor,2004,Unknown,,,Severe,Yes,,No,,
Arlington,Presidents Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45,Yes,,Main Building,Elementary School - Multi-Story,No,2004,First Floor,2004,Unknown,,Steel Braced Frame,Severe,Yes,,No,,
Arlington,Trafton Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,44,No,,Covered Play,Covered Play,No,1965,Main Area,1965,<1973,1,"Wood, Light Frame",Severe,Yes,Moderate,No,Low,Low
Arlington,Trafton Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,44,No,,Main Building,Elementary School - Multi-Story,Yes,1906,First Floor,1906,<1973,,,Severe,None,,No,,
Arlington,Trafton Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,44,No,,Main Building,Elementary School - Multi-Story,Yes,1906,First Floor,1906,<1973,,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,None,,No,,
Asotin-Anatone,Asotin K-12,High School - Rural,Low,,Very Dense Soil/Soft Rock - Firm Soil,Low,8,No,,Agriculture Building,Wood Shop,No,1976,Main Area,1976,Unknown,1,,,,,No,,
Asotin-Anatone,Asotin K-12,High School - Rural,Low,,Very Dense Soil/Soft Rock - Firm Soil,Low,8,No,,Main Building K-12,Junior/Senior High School - Multi-Story,No,1976,Main Area,1976,Unknown,,,,,,No,,
Auburn,Alpac Elementary School,Elementary School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Covered Play,Covered Play,No,1972,Main Area,1972,<1973,1,,,,,No,,
Auburn,Alpac Elementary School,Elementary School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,East Addition,Classroom Building - Slabs On Grade,No,1987,Main Area,1987,Unknown,1,,,,,No,,
Auburn,Alpac Elementary School,Elementary School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building,Elementary School - Single Story,No,1972,Main Area,1972,<1973,1,,,,,No,,
Auburn,Arthur Jacobsen Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,55,No,,Covered Play,Covered Play,No,2007,Main Area,2007,2003-Present,1,,,,,No,,
Auburn,Arthur Jacobsen Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,55,No,,Main Building,Elementary School - Multi-Story,No,2007,Main Area,2007,2003-Present,1,,,,,No,,
Auburn,Auburn High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building - 2014,High School - Multi-Story,No,2014,Autoshop,1986,Unknown,,,,,,No,,
Auburn,Auburn High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building - 2014,High School - Multi-Story,No,2014,Music/Voc/Com/Kitch,2014,2003-Present,,,,,,No,,
Auburn,Auburn High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building - 2014,High School - Multi-Story,No,2014,Theater,2016,2003-Present,,,,,,No,,
Auburn,Auburn High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building - 2014,High School - Multi-Story,No,2014,Theater,1978,Unknown,,,,,,No,,
Auburn,Auburn Mountainview High School,High School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,55,No,,Main Building,Administrative,No,2005,Main Area,2005,2003-Present,,,,,,No,,
Auburn,Auburn Riverside High School,High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,46,No,,Main Building,Administrative,Yes,1995,Main Area,1995,1988-1991,2,Steel Braced Frame,Moderate,Yes,Moderate,No,Low,Low
Auburn,Bowman Creek Elementary ,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,53,No,,Main Buildling + Cov Play ,Elementary School - Multi-Story,No,2020,Main Area,2020,2003-Present,,,,,,No,,
Auburn,Cascade Middle School,Middle/Junior High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,48,No,,"100 Building - AA Areas 2, 3, 4",Library,No,1967,Admin Add - AA 2,1988,Unknown,1,,,,,No,,
Auburn,Cascade Middle School,Middle/Junior High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,48,No,,"100 Building - AA Areas 2, 3, 4",Library,No,1967,Library - AA 4,1967,<1973,1,,,,,No,,
Auburn,Cascade Middle School,Middle/Junior High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,48,No,,200 Building - AA Area 1,Gymnasium,No,1967,Main Area,1967,<1973,1,,,,,No,,
Auburn,Cascade Middle School,Middle/Junior High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,48,No,,300 Building - AA Area 5,Classroom Building - Slabs On Grade,No,1967,Main Area,1967,<1973,1,,,,,No,,
Auburn,Cascade Middle School,Middle/Junior High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,48,No,,400 Building - AA Area 6,Classroom Building - Slabs On Grade,No,1967,Main Area,1967,<1973,1,,,,,No,,
Auburn,Cascade Middle School,Middle/Junior High School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,48,No,,500 Building - AA Areas 7 & 8,Classroom Building - Slabs On Grade,No,1967,Main Area,1967,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,100 Admin & Library - AA Areas 4 & 5,Library,No,1963,4 Administration,1963,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,100 Admin & Library - AA Areas 4 & 5,Library,No,1963,5 Library,1981,Unknown,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,200 Gym & Kitchen - AA Areas 2 & 3,Gymnasium,No,1963,Main Area,1963,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,300 Classrooms - AA Area 1,Classroom Building - Slabs On Grade,No,1963,Main Area,1963,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,400 Classrooms - AA Areas 6A & 6B,Classroom Building - Slabs On Grade,No,1963,6A Classroom Add,1981,Unknown,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,400 Classrooms - AA Areas 6A & 6B,Classroom Building - Slabs On Grade,No,1963,6B Classrooms,1963,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,500 Classrooms - AA Area 8,Classroom Building - Slabs On Grade,No,1963,Main Area,1963,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,Covered Play,Covered Play,No,2020,,,,,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,Coverered Play - AA Area 7,Covered Play,No,1963,Covered Play,1963,<1973,1,,,,,No,,
Auburn,Chinook Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil/Soft Rock - Firm Soil,Very Low,55,No,,Main Building,Elementary School - Multi-Story,No,2020,,,,,,,,,No,,
Auburn,Dick Scobee Elementary ,Elementary School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building,Elementary School - Multi-Story,No,2020,Covered Play,2020,2003-Present,,,,,,No,,
Auburn,Dick Scobee Elementary ,Elementary School - Rural,High,,Firm Soil - Soft Soil,Moderate to High,47,No,,Main Building,Elementary School - Multi-Story,No,2020,First Floor,2020,2003-Present,,,,,,No,,
Auburn,Evergreen Heights Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,64,No,,"100 Building - AA Areas 8, 9, 10",Classroom Building - Multi-Story,No,1970,Main Area,1970,<1973,1,,,,,No,,
Auburn,Evergreen Heights Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,64,No,,200 Building - AA Area 3,Classroom Building - Slabs On Grade,No,1970,Main Area,1970,<1973,1,,,,,No,,
Auburn,Evergreen Heights Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,64,No,,300 Building - AA Area 4,Classroom Building - Multi-Story,No,1970,Main Area,1970,<1973,1,,,,,No,,
Auburn,Evergreen Heights Elementary School,Elementary School - Rural,Moderate,,Very Dense Soil and Soft Rock,Very Low,64,No,,400 Building - AA Area 1,Classroom Building - Slabs On Grade,No,1970,Main Area,1970,<1973,1,,,,,No,,
