District,Site,Site_Type,Site_EQHazardLevel,Site_EQRiskLevel,Site_Soil,Site_Liquefaction,Site_GroundMotionPercentile,Site_HasGeotechnicalStudy,Site_ShearWaveVelocity,Building,Building_Type,Building_HasEvaluation,Building_YearBuilt,BuildingArea_Name,BuildingArea_YearBuilt,BuildingArea_CodeYear,BuildingArea_NumberOfFloors,BuildingArea_ConstructionType,BuildingArea_VerticalIrregularity,BuildingArea_HorizontalIrregularity,BuildingArea_ExistingRisk,BuildingArea_HasRetrofit,BuildingArea_RetrofitRisk,BuildingArea_CodeRisk
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,Yes,,Gymnasium Building,Middle/Junior High School - Single Story,Yes,1978,Main Area,1978.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,,Moderate,No,Low,Low
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,Yes,,Main Building,Middle/Junior High School - Multi-Story,No,2006,First Floor,2006.0,2003-Present,,,Severe,Yes,,No,,
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,Yes,,Main Building,Middle/Junior High School - Multi-Story,No,2006,First Floor,2006.0,2003-Present,,Steel Braced Frame,Severe,Yes,,No,,
Arlington,Haller Middle School,Middle/Junior High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,Yes,,Music Building,Middle/Junior High School - Single Story,Yes,1968,Main Area,1968.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,,Very High,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,No,,B Building - Gym,Gymnasium,Yes,1981,Main Area,1981.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,,Moderate,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,No,,Building A Main,Middle/Junior High School - Single Story,Yes,1981,Main Area,1981.0,Unknown,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,Yes,Moderate,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,No,,C Building - Art/Home Living/Woods,Classroom Building - Slabs On Grade,Yes,1981,Main Area,1981.0,Unknown,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,,Low,No,Low,Low
Arlington,Post Middle School,Middle/Junior High School - Rural,Moderate,High,Very Dense Soil/Soft Rock - Firm Soil,Very Low,45.0,No,,D Building Classrooms Addition,Classroom Building - Slabs On Grade,Yes,1993,Main Area,1993.0,Unknown,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",Severe,,Low,No,Low,Low
Blaine,Blaine Elementary School,Elementary School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Main Building,Elementary School - Single Story,Yes,1948,1959 Addition,1959.0,<1973,1.0,Unreinforced Masonry Bearing Walls,,Yes,Very High,No,Low,Low
Blaine,Blaine Elementary School,Elementary School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Main Building,Elementary School - Single Story,Yes,1948,1973 Addition,1973.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Very High,No,Low,Low
Blaine,Blaine Elementary School,Elementary School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Main Building,Elementary School - Single Story,Yes,1948,1975 Addition,1975.0,1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Moderate,No,Low,Low
Blaine,Blaine Elementary School,Elementary School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Main Building,Elementary School - Single Story,Yes,1948,1990 Addition,1990.0,1988-1991,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Low,No,Low,Low
Blaine,Blaine Elementary School,Elementary School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Main Building,Elementary School - Single Story,Yes,1948,2003 Addition,2003.0,1997,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,Yes,Low,No,,
Blaine,Blaine Elementary School,Elementary School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Main Building,Elementary School - Single Story,Yes,1948,Original,1948.0,<1973,1.0,Unreinforced Masonry Bearing Walls,,Yes,Very High,No,Low,Low
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Greenhouse,Greenhouse,Yes,1988,Main Area,2016.0,2003-Present,1.0,Steel Light Frame,,,Low,No,,
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Gym Complex,Gymnasium,Yes,1964,Gym Addition,1994.0,1994,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Low,No,Low,Low
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Gym Complex,Gymnasium,Yes,1964,Gym Additions,2002.0,1997,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Low,No,,
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Gym Complex,Gymnasium,Yes,1964,Main Area,1964.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Very High,Yes,Low,Low
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,High School - Phase I Building,Cafeteria/Kitchen,No,2019,Area 1,2019.0,2003-Present,,,,,,No,,
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,High School - Phase II Building,Classroom Building - Multi-Story,No,2019,Area 1,2019.0,2003-Present,,,,,,No,,
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,High School - Phase III North Building,Classroom Building - Multi-Story,No,2019,Phase III North Building,2019.0,2003-Present,,,,,,No,,
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,High School - Phase III South Building,Classroom Building - Slabs On Grade,No,2019,Area 1,2019.0,2003-Present,,,,,,No,,
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Science Lab,Science,Yes,1975,Main Area,1975.0,1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Moderate,No,Low,Low
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Vocational Building A,Classroom Building - Slabs On Grade,Yes,1976,Main Area,1976.0,1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Moderate,No,Low,Low
Blaine,Blaine High School,High School - Rural,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Vocational Building B,Wood Shop,Yes,1936,Main Area,1936.0,<1973,1.0,Concrete Shear Walls,,Yes,Very High,No,Low,Low
Blaine,Blaine Middle School,Middle/Junior High School - Urban,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Middle School,Middle/Junior High School - Single Story,Yes,1956,Main Area,1956.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Very High,No,Low,Low
Blaine,Blaine Middle School,Middle/Junior High School - Urban,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,42.0,No,,Middle School Gym,Gymnasium,Yes,1936,Main Area,1936.0,<1973,1.0,Concrete Shear Walls,Moderate,,Very High,Yes,Low,Low
Boistfort,Boistfort Elementary,Elementary School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,43.0,Yes,320.0,Covered Play #1,Covered Play,No,1980,Covered Play #1,1980.0,Unknown,1.0,,,,,No,,
Boistfort,Boistfort Elementary,Elementary School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,43.0,Yes,320.0,Gymnasium Building,Gymnasium,Yes,1963,Main Area,1963.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,,Very High,No,Low,Low
Boistfort,Boistfort Elementary,Elementary School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,43.0,Yes,320.0,Main Building,K-8,Yes,1936,A2/LOWER CLASSROOMS,1980.0,Unknown,1.0,,,,,No,,
Boistfort,Boistfort Elementary,Elementary School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,43.0,Yes,320.0,Main Building,K-8,Yes,1936,Main Area,1935.0,<1973,1.0,Unreinforced Masonry Bearing Walls,Severe,,Very High,No,Low,Low
Brewster,Brewster Jr / Sr High School,High School - Rural,High,High,Firm Soil - Soft Soil,Moderate to High,28.0,No,,Green House,Greenhouse,No,1993,Main Area,1998.0,Unknown,1.0,Steel Light Frame,Severe,,Moderate,No,,
Brewster,Brewster Jr / Sr High School,High School - Rural,High,High,Firm Soil - Soft Soil,Moderate to High,28.0,No,,Junior / Senior High School,Junior/Senior High School - Multi-Story,No,1978,Main Area,1978.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,Yes,High,No,Low,Low
Brewster,Brewster Jr / Sr High School,High School - Rural,High,High,Firm Soil - Soft Soil,Moderate to High,28.0,No,,Junior / Senior High School,Junior/Senior High School - Multi-Story,No,1978,Main Area,1991.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,Yes,Moderate,No,,
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,500 Wing,Administrative,No,1974,Main Area,1974.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Very High,No,Low,Low
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Admin/Classroom Building,Administrative,No,1974,Main Area,1974.0,Unknown,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Very High,No,Low,Low
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Ag Shop,Wood Shop,No,1970,Main Area,1970.0,<1973,1.0,,,,,No,,
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Art/Tiger TUB Building,Administrative,No,1958,Main Area,1958.0,<1973,1.0,Concrete Shear Walls,,,Very High,No,Low,Low
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Cafeteria and 400 Wing,Administrative,No,1970,Main Area,1970.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Very High,No,Low,Low
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,CTE,Classroom Building - Slabs On Grade,No,1964,Main Area,1964.0,<1973,1.0,,,,,No,,
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Fieldhouse,Gymnasium,No,1953,Main Area,1953.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Very High,No,Low,Low
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Greenhouse,Greenhouse,No,1997,Main Area,1997.0,Unknown,1.0,,,,,No,,
Burlington-Edison,Burlington-Edison High School,High School - Rural,High,Very High,Firm Soil - Soft Soil,Moderate to High,37.0,Yes,189.0,Library/Classroom Building,Junior/Senior High School - Multi-Story,No,1996,Main Area,1996.0,Unknown,,,,,,No,,
Cape Flattery,Clallam Bay High and Elementary School,K-12 - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,85.0,Yes,295.0,Big Gym,Gymnasium,Yes,1962,Main Area,1962.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,Yes,Very High,No,Low,Low
Cape Flattery,Clallam Bay High and Elementary School,K-12 - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,85.0,Yes,295.0,Elementary Building,Elementary School - Single Story,Yes,1962,Main Area,1962.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Very High,No,Low,Low
Cape Flattery,Clallam Bay High and Elementary School,K-12 - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,85.0,Yes,295.0,Elementary Gym,Gymnasium,Yes,1980,Main Area,1980.0,1976-1985,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Very High,No,Low,Low
Cape Flattery,Clallam Bay High and Elementary School,K-12 - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,85.0,Yes,295.0,High School Building,High School - Single Story,Yes,1972,Main Area,1972.0,<1973,1.0,Concrete Shear Walls,,Yes,Very High,No,Low,Low
Cape Flattery,Clallam Bay High and Elementary School,K-12 - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,85.0,Yes,295.0,High School Building,High School - Single Story,Yes,1972,Main Area,1978.0,1976-1985,1.0,Concrete Shear Walls,,Yes,Very High,No,Low,Low
Cape Flattery,Clallam Bay High and Elementary School,K-12 - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,85.0,Yes,295.0,Shop and Art Building,Wood Shop,Yes,1980,Main Area,1978.0,1976-1985,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Very High,No,Low,Low
Cape Flattery,Neah Bay Elementary School,Elementary School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Elementary School,Elementary School - Single Story,Yes,1961,Main Area,1961.0,<1973,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,Yes,Very High,No,Low,Low
Cape Flattery,Neah Bay Junior/ Senior High School,Middle/Junior High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Neah Bay High School Classroom Building,Classroom Building - Slabs On Grade,Yes,1966,Addition,1990.0,1976-1985,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,Yes,High,No,Low,Low
Cape Flattery,Neah Bay Junior/ Senior High School,Middle/Junior High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Neah Bay High School Classroom Building,Classroom Building - Slabs On Grade,Yes,1966,Main Area,1966.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,Yes,Very High,No,Low,Low
Cape Flattery,Neah Bay Junior/ Senior High School,Middle/Junior High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Neah Bay High School Gym,Gymnasium,Yes,1972,Main Area,1972.0,<1973,1.0,Concrete Shear Walls,,Yes,Very High,No,Low,Low
Cape Flattery,Neah Bay Junior/ Senior High School,Middle/Junior High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Neah Bay High School Shop Building,Wood Shop,Yes,1972,Main Area,1972.0,<1973,1.0,Steel Light Frame,,Yes,Very High,No,Moderate,Moderate
Cape Flattery,Neah Bay Junior/ Senior High School,Middle/Junior High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Neah Bay High School Shop Building,Wood Shop,Yes,1972,Main Area,1988.0,1976-1985,1.0,Steel Light Frame,,Yes,Very High,No,Moderate,Moderate
Cape Flattery,Neah Bay Junior/ Senior High School,Middle/Junior High School - Rural,Very High,Very High,Firm Soil - Soft Soil,Moderate to High,87.0,Yes,232.0,Neah Bay Middle School & Gym,Gymnasium,Yes,2002,Main Area,2002.0,1997,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,Low,No,,
Carbonado,Carbonado Historical School 19,K-8,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,50.0,Yes,411.0,1st and 2nd Grade and Special Education Building,Classroom Building - Crawl Space,Yes,1968,Main Area,1968.0,<1973,1.0,Steel Moment Frame,,,Very High,No,Low,Low
Carbonado,Carbonado Historical School 19,K-8,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,50.0,Yes,411.0,A - Main Building,Classroom Building - Crawl Space,Yes,1929,Main Area,1929.0,<1973,2.0,Unreinforced Masonry Bearing Walls,Moderate,,Very High,Yes,Low,Low
Carbonado,Carbonado Historical School 19,K-8,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,50.0,Yes,411.0,A - Main Building,Classroom Building - Crawl Space,Yes,1929,Main Area,1978.0,1976-1985,2.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,Severe,,Moderate,Yes,Low,Low
Carbonado,Carbonado Historical School 19,K-8,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,50.0,Yes,411.0,B - Community Gym,Gymnasium,Yes,1936,Main Area,1986.0,<1973,2.0,"Wood, Light Frame",Severe,,Moderate,No,Low,Low
Carbonado,Carbonado Historical School 19,K-8,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,50.0,Yes,411.0,Computer Lab and Library,Library,Yes,1989,Main Area,1990.0,1976-1985,1.0,"Wood, Light Frame",Severe,,Low,No,Low,Low
Carbonado,Carbonado Historical School 19,K-8,Moderate,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,50.0,Yes,411.0,Covered Play,Covered Play,No,2006,Main Area,2006.0,2003-Present,1.0,Steel Moment Frame,Severe,,Low,No,,
Central Kitsap,Brownsville Elementary,Elementary School - Rural,High,Very High,Very Dense Soil and Soft Rock,Very Low,89.0,No,,Main_Bldg,Elementary School - Single Story,Yes,1954,2 Classrooms,1969.0,<1973,1.0,"Wood, Light Frame",,,Moderate,No,Low,Low
Central Kitsap,Brownsville Elementary,Elementary School - Rural,High,Very High,Very Dense Soil and Soft Rock,Very Low,89.0,No,,Main_Bldg,Elementary School - Single Story,Yes,1954,5 Classrooms,1967.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,High,No,Low,Low
Central Kitsap,Brownsville Elementary,Elementary School - Rural,High,Very High,Very Dense Soil and Soft Rock,Very Low,89.0,No,,Main_Bldg,Elementary School - Single Story,Yes,1954,8 Classrooms,1970.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,Yes,Very High,No,Low,Low
Central Kitsap,Brownsville Elementary,Elementary School - Rural,High,Very High,Very Dense Soil and Soft Rock,Very Low,89.0,No,,Main_Bldg,Elementary School - Single Story,Yes,1954,"Gym, Stage, Music",1991.0,1988-1991,1.0,Reinforced Masonry Bearing Walls with Wood or Metal Diaphragm Decks,,,Moderate,No,Low,Low
Central Kitsap,Brownsville Elementary,Elementary School - Rural,High,Very High,Very Dense Soil and Soft Rock,Very Low,89.0,No,,Main_Bldg,Elementary School - Single Story,Yes,1954,Library,1976.0,1973,1.0,"Wood, Light Frame",,,Moderate,No,Low,Low
Central Kitsap,Brownsville Elementary,Elementary School - Rural,High,Very High,Very Dense Soil and Soft Rock,Very Low,89.0,No,,Main_Bldg,Elementary School - Single Story,Yes,1954,Original,1954.0,<1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,High,No,Low,Low
Central Kitsap,Clear Creek Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,86.0,No,,Main,Elementary School - Single Story,Yes,1978,2004 Addition,2004.0,1997,1.0,Steel Light Frame,,Yes,Moderate,No,,
Central Kitsap,Clear Creek Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Low,86.0,No,,Main,Elementary School - Single Story,Yes,1978,Original Building,1978.0,1976-1985,1.0,Steel Light Frame,,Yes,Very High,No,Moderate,Moderate
Central Kitsap,Cottonwood Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,89.0,Yes,364.0,Main,Elementary School - Single Story,Yes,1976,Administration Addition,1990.0,1988-1991,1.0,"Wood, Light Frame",,,Low,No,Low,Low
Central Kitsap,Cottonwood Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,89.0,Yes,364.0,Main,Elementary School - Single Story,Yes,1976,Administration Addition & Secure Entry Vestibule,2019.0,2003-Present,1.0,"Wood, Light Frame",,,Low,No,,
Central Kitsap,Cottonwood Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,89.0,Yes,364.0,Main,Elementary School - Single Story,Yes,1976,Covered Play/Gymnasium,1976.0,1973,1.0,Precast Concrete Tilt-Up Walls,,,Very High,No,Moderate,Low
Central Kitsap,Cottonwood Elementary School,Elementary School - Rural,High,Very High,Very Dense Soil/Soft Rock - Firm Soil,Very Low to Low,89.0,Yes,364.0,Main,Elementary School - Single Story,Yes,1976,Main,1976.0,1973,1.0,"Wood, Commercial and Industrial (>5,000 square feet)",,,Moderate,No,Low,Low
Central Kitsap,Cougar Valley Elementary,Elementary School - Rural,High,High,Very Dense Soil and Soft Rock,Very Low,86.0,No,,Main,Elementary School - Single Story,Yes,1989,2004 Additions,2004.0,1997,1.0,Steel Braced Frame,,,Low,No,,
Central Kitsap,Cougar Valley Elementary,Elementary School - Rural,High,High,Very Dense Soil and Soft Rock,Very Low,86.0,No,,Main,Elementary School - Single Story,Yes,1989,Administration Renovation & Security Vestibule,2019.0,2003-Present,1.0,Steel Light Frame,,,Moderate,No,,
Central Kitsap,Cougar Valley Elementary,Elementary School - Rural,High,High,Very Dense Soil and Soft Rock,Very Low,86.0,No,,Main,Elementary School - Single Story,Yes,1989,Main,1989.0,1976-1985,1.0,Steel Braced Frame,,Yes,High,No,Low,Low
